player_name,id,date_of_birth,place_of_birth,country_of_birth,town_of_birth,height_cm,weight_kg,position,awards_cnt,RG,RA,RTP,RPM,RGD,RGAA,RSO,RGA,RTOI,RS,RPLMI,RWR,ARSP,PSG,PSA,PSTP,PSPM,PSGD,PSGAA,PSSO,PSGA,PSTOI,PSS,PSPLMI,PSWR,APSSP,lng,lat
Edgar Varagyan,543166,2002-10-17,"Magnitogorsk, RUS",RUS,Magnitogorsk,187,92,RW,0,0.3895582329317269,0.30522088353413657,0.6947791164658634,1.2369477911646587,0.0,0.0,0.0,0.0,0.0,0.0,0.2289156626506024,0.0,0.0,0.26666666666666666,0.13333333333333333,0.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.13333333333333333,0.0,0.0,53.4242184,58.983136
Edgars Kulda,52421,1994-11-13,"Riga, LAT",LAT,Riga,183,87,LW,12,0.2972181551976574,0.3308931185944363,0.6281112737920937,0.6486090775988287,0.0,0.0,0.0,0.0,0.0,0.0,0.055636896046852125,0.0,0.0,0.2647058823529412,0.5392156862745098,0.803921568627451,0.3627450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,56.9493977,24.1051846
Edgars Lusins,31545,1984-12-25,"Riga, LAT",LAT,Riga,174,84,G,6,0.0,0.0,0.0,0.0,0.4211822660098522,0.23068965517241377,0.007389162561576354,1.1576354679802956,0.3205254515599343,0.044014778325123155,0.0,0.3898305084745763,0.8976000000000001,0.0,0.0,0.0,0.0,0.6071428571428571,0.9142857142857144,0.0,1.4642857142857142,0.3113095238095238,0.042499999999999996,0.0,0.0,0.875,56.9493977,24.1051846
Edgars Masalskis,2090,1980-03-31,"Riga, LAT",LAT,Riga,176,82,G,18,0.0,0.0,0.0,0.0,0.6104417670682731,0.29564926372155287,0.028112449799196786,1.1994645247657296,0.41742525658188306,0.10330655957161981,0.0,0.3924914675767918,0.8899000000000001,0.0,0.0,0.0,0.0,0.4166666666666667,0.7627083333333333,0.020833333333333332,1.3333333333333333,0.5989583333333334,0.129375,0.0,0.4074074074074074,0.92425,56.9493977,24.1051846
Edgars Siksna,49557,1993-01-15,"Riga, LAT",LAT,Riga,187,94,D,10,0.10227272727272728,0.3224431818181818,0.4247159090909091,0.9815340909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.14914772727272727,0.0,0.0,0.14393939393939395,0.4090909090909091,0.553030303030303,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.12878787878787878,0.0,0.0,56.9493977,24.1051846
Edijs Brahmanis,31383,1983-11-17,"Riga, LAT",LAT,Riga,185,90,LW,23,0.5088449531737773,0.4214360041623309,0.9302809573361083,1.1893860561914673,0.0,0.0,0.0,0.0,0.0,0.0,0.1259105098855359,0.0,0.0,0.5,0.3,0.8,1.6294117647058823,0.0,0.0,0.0,0.0,0.0,0.0,-0.041176470588235294,0.0,0.0,56.9493977,24.1051846
Edmunds Augstkalns,52410,1994-08-25,"Riga, LAT",LAT,Riga,181,86,D,6,0.08967851099830795,0.27411167512690354,0.3637901861252115,1.0795262267343486,0.0,0.0,0.0,0.0,0.0,0.0,-0.04230118443316413,0.0,0.0,0.10294117647058823,0.3088235294117647,0.4117647058823529,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,0.0,56.9493977,24.1051846
Eduard Gimatov,158043,1994-01-22,"Ufa, RUS",RUS,Ufa,180,91,LW/RW,2,0.18815331010452963,0.23519163763066203,0.42334494773519166,0.8484320557491289,0.0,0.0,0.0,0.0,0.0,0.0,0.005226480836236934,0.0,0.0,0.36585365853658536,0.34146341463414637,0.7073170731707317,1.2073170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.10975609756097561,0.0,0.0,52.3870936,13.122814833095239
Eduard Lewandowski,18838,1980-09-07,"Krasnoturyinsk, RUS",RUS,Krasnoturyinsk,187,92,RW,7,0.2447501810282404,0.33019551049963797,0.5749456915278783,0.8312816799420709,0.0,0.0,0.0,0.0,0.0,0.0,0.05141202027516292,0.0,0.0,0.15723270440251572,0.24528301886792453,0.4025157232704403,1.1823899371069182,0.0,0.0,0.0,0.0,0.0,0.0,-0.012578616352201259,0.0,0.0,None,None
Eduard Mikhailov,269029,1996-10-20,"Karaganda, KAZ",KAZ,Karaganda,183,82,D,0,0.05555555555555555,0.23555555555555555,0.2911111111111111,0.5711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.0,0.0,0.0,0.15151515151515152,0.15151515151515152,0.42424242424242425,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,49.1767322,74.1811272
Eduard Reizvikh,17754,1991-03-30,"Omsk, RUS",RUS,Omsk,190,82,G,17,0.0,0.0,0.0,0.0,1.2717391304347827,0.17423913043478262,0.125,1.733695652173913,0.8223731884057971,0.21176630434782612,0.0,0.4887459807073955,0.9115909090909091,0.0,0.0,0.0,0.0,1.4461538461538461,0.3946153846153846,0.09230769230769231,2.1076923076923078,1.0097435897435898,0.28846153846153844,0.0,0.5873015873015873,0.9125555555555557,54.991375,73.371529
Eduard Simun,151739,1994-12-27,"Topolcany, SVK",SVK,Topolcany,193,100,C,1,0.2007233273056058,0.23508137432188064,0.4358047016274864,0.4430379746835443,0.0,0.0,0.0,0.0,0.0,0.0,-0.1518987341772152,0.0,0.0,0.32075471698113206,0.3584905660377358,0.6792452830188679,0.33962264150943394,0.0,0.0,0.0,0.0,0.0,0.0,0.32075471698113206,0.0,0.0,48.1807927,20.484227
Eduards Hugo Jansons,207154,1997-09-07,"Riga, LAT",LAT,Riga,188,85,D,4,0.1432225063938619,0.23017902813299232,0.3734015345268542,0.8056265984654731,0.0,0.0,0.0,0.0,0.0,0.0,0.08184143222506395,0.0,0.0,0.19117647058823528,0.23529411764705882,0.4264705882352941,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,56.9493977,24.1051846
Edward Pasquale,11248,1990-11-20,"Toronto, ON, CAN",CAN,Toronto,191,99,G,15,0.0,0.0,0.0,0.0,0.22641509433962265,0.09378809869375908,0.05660377358490566,2.3802612481857763,0.937929366231253,0.2427576197387518,0.0,0.5453047775947282,0.913875,0.0,0.0,0.0,0.0,0.26865671641791045,0.407910447761194,0.08955223880597014,2.4776119402985075,0.9992537313432837,0.2813432835820896,0.0,0.49206349206349204,0.9144545454545454,43.6534817,-79.3839347
Edwin Hedberg,16833,1994-01-29,"Medellín, COL",COL,Medellin,180,79,LW/RW,3,0.2641509433962264,0.2525399129172714,0.5166908563134979,0.8795355587808418,0.0,0.0,0.0,0.0,0.0,0.0,-0.036284470246734396,0.0,0.0,0.16279069767441862,0.32558139534883723,0.4883720930232558,0.6511627906976745,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,6.2443382,-75.573553
Eeli Tolvanen,249730,1999-04-22,"Vihti, FIN",FIN,Vihti,179,87,RW/LW,36,0.4437869822485207,0.4378698224852071,0.8816568047337278,0.3757396449704142,0.0,0.0,0.0,0.0,0.0,0.0,0.04142011834319527,0.0,0.0,0.35135135135135137,0.3108108108108108,0.6621621621621622,0.6486486486486487,0.0,0.0,0.0,0.0,0.0,0.0,-0.10810810810810811,0.0,0.0,60.4168803,24.320558
Eemeli Räsänen,302228,1999-03-06,"Joensuu, FIN",FIN,Joensuu,200,95,D,3,0.10588235294117647,0.32235294117647056,0.42823529411764705,0.6564705882352941,0.0,0.0,0.0,0.0,0.0,0.0,-0.023529411764705882,0.0,0.0,0.07894736842105263,0.3157894736842105,0.39473684210526316,0.9736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,-0.5263157894736842,0.0,0.0,62.6005753,29.7622128
Eero Elo,17014,1990-04-26,"Rauma, FIN",FIN,Rauma,193,92,LW/RW,8,0.35706214689265536,0.32994350282485874,0.6870056497175141,0.5514124293785311,0.0,0.0,0.0,0.0,0.0,0.0,0.023728813559322035,0.0,0.0,0.3584905660377358,0.3018867924528302,0.660377358490566,0.5660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,-0.04716981132075472,0.0,0.0,61.1289148,21.5039401
Eetu Mäki,361832,2000-02-09,"Oulu, FIN",FIN,Oulu,176,85,RW,3,0.3661417322834646,0.49803149606299213,0.8641732283464567,0.36220472440944884,0.0,0.0,0.0,0.0,0.0,0.0,0.02952755905511811,0.0,0.0,0.4444444444444444,0.48148148148148145,0.9259259259259259,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,65.0118734,25.4716809
Eetu Mäkiniemi,279023,1999-04-19,"Vantaa, FIN",FIN,Vantaa,188,83,G,5,0.0,0.0,0.0,0.0,0.248868778280543,0.24285067873303168,0.03619909502262444,1.5475113122171946,0.5432126696832579,0.15171945701357467,0.0,0.45454545454545453,0.894,0.0,0.0,0.0,0.0,0.0,0.604,0.0,3.0,0.9933333333333334,0.324,0.0,0.2,0.915,60.2921321,25.0411832
Eetu Pöysti,11380,1989-01-16,"Helsinki, FIN",FIN,Helsinki,186,89,RW,4,0.15816326530612246,0.21768707482993196,0.3758503401360544,0.47959183673469385,0.0,0.0,0.0,0.0,0.0,0.0,-0.003401360544217687,0.0,0.0,0.19736842105263158,0.2894736842105263,0.4868421052631579,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.09210526315789473,0.0,0.0,60.1674881,24.9427473
Egils Kalns,34658,1991-04-21,"Liepaja, LAT",LAT,Liepaja,178,82,LW/RW,8,0.47674418604651164,0.3997093023255814,0.876453488372093,0.627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,-0.01308139534883721,0.0,0.0,0.40229885057471265,0.25287356321839083,0.6551724137931034,0.7816091954022989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5048435,21.0070903
Eliezer Sherbatov,45166,1991-10-09,"Rehovot, ISR",ISR,Rehovot,174,88,LW,18,0.39372325249643364,0.5221112696148359,0.9158345221112696,0.4536376604850214,0.0,0.0,0.0,0.0,0.0,0.0,0.1355206847360913,0.0,0.0,0.42528735632183906,0.27586206896551724,0.7011494252873564,0.5747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,-0.034482758620689655,0.0,0.0,31.8930644,34.80340932920801
Elvijs Biezais,34653,1991-06-30,"Riga, LAT",LAT,Riga,184,89,RW/C,10,0.38117283950617287,0.4861111111111111,0.8672839506172839,0.566358024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.10648148148148148,0.0,0.0,0.45454545454545453,0.3522727272727273,0.8068181818181818,0.7954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.07954545454545454,0.0,0.0,56.9493977,24.1051846
Emil Djuse,20013,1993-10-27,"Östersund, SWE",SWE,Ostersund,181,84,D,9,0.13142857142857142,0.37142857142857144,0.5028571428571429,0.6871428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.11142857142857143,0.0,0.0,0.03076923076923077,0.23076923076923078,0.26153846153846155,1.0615384615384615,0.0,0.0,0.0,0.0,0.0,0.0,-0.2153846153846154,0.0,0.0,63.1793655,14.6357061
Emil Galimov,42440,1992-05-09,"Nizhnekamsk, RUS",RUS,Nizhnekamsk,187,84,LW/RW,1,0.23042168674698796,0.21385542168674698,0.4442771084337349,0.8117469879518072,0.0,0.0,0.0,0.0,0.0,0.0,0.10090361445783133,0.0,0.0,0.17,0.24,0.41,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,55.6412879,51.8160376
Emil Garipov,16732,1991-08-15,"Sredniye Verezi, RUS",RUS,Sredniye Verezi,189,85,G,12,0.0,0.0,0.0,0.0,1.3565022421524664,0.14320627802690583,0.06950672645739911,1.641255605381166,0.7869955156950673,0.18636771300448432,0.0,0.5970588235294118,0.922,0.0,0.0,0.0,0.0,2.015873015873016,0.3923809523809524,0.1111111111111111,1.9206349206349207,0.9428571428571428,0.23111111111111113,0.0,0.6545454545454545,0.9174444444444444,None,None
Emil Lundberg,512,1982-01-11,"Luleå, SWE",SWE,Lulea,179,82,C,1,0.1491442542787286,0.18704156479217604,0.33618581907090467,0.6797066014669927,0.0,0.0,0.0,0.0,0.0,0.0,0.04645476772616137,0.0,0.0,0.14432989690721648,0.2268041237113402,0.3711340206185567,0.5154639175257731,0.0,0.0,0.0,0.0,0.0,0.0,-0.020618556701030927,0.0,0.0,65.5831187,22.1459535
Emil Nurgaliyev,265509,1996-04-20,"Abai (South Kazakhstan), KAZ",KAZ,Abai (South Kazakhstan),183,80,D,5,0.1676829268292683,0.2774390243902439,0.4451219512195122,0.5182926829268293,0.0,0.0,0.0,0.0,0.0,0.0,0.21646341463414634,0.0,0.0,0.13432835820895522,0.26865671641791045,0.40298507462686567,0.3582089552238806,0.0,0.0,0.0,0.0,0.0,0.0,0.11940298507462686,0.0,0.0,None,None
Emil Pettersson,27331,1994-01-14,"Sundsvall, SWE",SWE,Sundsvall,187,80,C,2,0.2698191933240612,0.40055632823365783,0.6703755215577191,0.5952712100139083,0.0,0.0,0.0,0.0,0.0,0.0,0.05146036161335188,0.0,0.0,0.3,0.4166666666666667,0.7166666666666667,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.3907552,17.3071024
